AthleteID,AthleteName,CompetitionNumber,TotalKg,Dots,TotalImprovement,Metric
ATH01629,D. Muralikrishna,3,585.0,502.97,160.0,TotalImprovement
ATH01508,Chandan Singh Choudhary,3,720.0,476.98,160.0,TotalImprovement
ATH00785,Aparna Ghate,4,540.0,479.09,160.0,TotalImprovement
ATH00044,A. Shankar,2,717.5,489.6,160.0,TotalImprovement
ATH06601,Shajith Hameed,2,400.0,285.28,160.0,TotalImprovement
ATH05581,Rangu Virinchi Swapnika,4,540.0,467.39,157.5,TotalImprovement
ATH07962,Vickram Jeet Singh,4,915.0,490.22,157.5,TotalImprovement
ATH05327,Rahul Kumar #1,2,722.5,438.47,157.5,TotalImprovement
ATH02664,Janakiraman D,2,537.5,397.55,157.5,TotalImprovement
ATH03732,Mamta,4,390.0,380.77,155.0,TotalImprovement
ATH02931,K. Sagar,3,567.5,341.41,155.0,TotalImprovement
ATH04424,Neeraj Chawla,3,765.0,438.86,155.0,TotalImprovement
ATH04667,P. Nishanth,2,497.5,286.68,155.0,TotalImprovement
ATH00164,Abhishek Singh,2,632.5,355.16,155.0,TotalImprovement
ATH00788,Apoorv Dubey,10,915.0,507.05,155.0,TotalImprovement
ATH06537,Sejal Makwana,2,380.0,439.95,155.0,TotalImprovement
ATH06837,Shreya Sunil Bordawekar,2,540.0,425.22,155.0,TotalImprovement
ATH02932,K. Sai Charan,4,700.0,479.46,155.0,TotalImprovement
ATH06350,Sanket Chavan,2,835.0,504.07,155.0,TotalImprovement
ATH03281,Krishna Done Murali,2,515.0,491.03,152.5,TotalImprovement
ATH02415,Harsha Yadav,3,417.5,449.03,152.5,TotalImprovement
ATH02397,Harmeet Singh,2,670.0,375.42,152.5,TotalImprovement
ATH04011,Mishra Prateek,2,712.5,454.75,152.5,TotalImprovement
ATH04160,Muhammad Jafar R,2,765.0,518.92,152.5,TotalImprovement
ATH07812,V. Kamalnath,2,430.0,336.54,152.5,TotalImprovement
ATH01015,Atanu Mallik,2,547.5,396.2,152.5,TotalImprovement
ATH01191,Baldev Singh,2,692.5,443.63,152.5,TotalImprovement
ATH00670,Ankit Chouhan,4,805.0,477.27,152.5,TotalImprovement
ATH07842,Vaibhav Naik,2,707.5,438.33,152.5,TotalImprovement
ATH05161,Priyanka,3,300.0,277.76,152.5,TotalImprovement
ATH06720,Shibin S,2,720.0,480.32,150.0,TotalImprovement
ATH06676,Shashank Joshi,5,817.5,499.26,150.0,TotalImprovement
ATH04193,Munaf Abdul,2,795.0,471.34,150.0,TotalImprovement
ATH05790,Riya Gupta,2,457.5,535.4,150.0,TotalImprovement
ATH06640,Shanmugapriya P,3,440.0,451.83,150.0,TotalImprovement
ATH07384,Suraj Kumar Singh,5,825.0,508.24,150.0,TotalImprovement
ATH06818,Shoyab Mundori,2,682.5,394.78,150.0,TotalImprovement
ATH05044,Pratheeksha G. Naik,8,473.0,436.35,148.0,TotalImprovement
ATH00923,Ashi Mol,6,377.5,504.36,147.5,TotalImprovement
ATH01399,Bogam Harishkumar,4,702.5,446.97,147.5,TotalImprovement
ATH00770,Anusha Donkena,2,600.0,493.98,147.5,TotalImprovement
ATH01505,Chandan Kumar Singh,10,697.5,473.13,147.5,TotalImprovement
ATH03233,Kiran Tyagi,3,425.0,398.49,147.5,TotalImprovement
ATH00147,Abhishek Ghosh,2,657.5,372.31,147.5,TotalImprovement
ATH05834,Rohit Kumar,4,462.5,344.87,147.5,TotalImprovement
ATH04105,Moksha Chandel,2,608.5,379.27,146.0,TotalImprovement
ATH08251,Yuthika Thakur,2,265.0,325.37,145.0,TotalImprovement
ATH05673,Ravisha R,2,570.0,494.92,145.0,TotalImprovement
ATH04582,Nivedita Kharkar,3,405.0,465.08,145.0,TotalImprovement
ATH02794,Jiwan Singh Bisht,2,605.0,389.46,145.0,TotalImprovement
ATH00444,Aman Kumar,2,700.0,492.57,145.0,TotalImprovement
ATH00671,Ankit Khatri #1,2,685.0,381.73,145.0,TotalImprovement
ATH00473,Ameya V,3,505.0,426.73,145.0,TotalImprovement
ATH01050,Avinash Dubey,2,707.5,453.14,145.0,TotalImprovement
ATH00424,Althaf Omer,2,612.5,366.24,144.5,TotalImprovement
ATH05090,Preeti,2,530.0,490.48,142.5,TotalImprovement
ATH06328,Sanjay Shahi,3,690.0,541.85,142.5,TotalImprovement
ATH07342,Sunil Konewadkar,2,762.5,551.78,142.5,TotalImprovement
ATH02168,Gaurav Sahu,11,590.0,485.92,142.5,TotalImprovement
ATH05851,Ronald Varghese,2,735.0,531.88,142.5,TotalImprovement
ATH05142,Priya M,8,462.5,501.08,142.5,TotalImprovement
ATH00273,Ajay Dhameja,2,817.5,443.17,140.0,TotalImprovement
ATH07910,Vasudev Menon,2,767.5,414.83,140.0,TotalImprovement
ATH00126,Abhirami M. V,4,505.0,467.61,140.0,TotalImprovement
ATH01154,Badhusha Sultan A,2,572.5,380.7,140.0,TotalImprovement
ATH01007,Aswalt Praveenraj I,4,872.5,469.2,140.0,TotalImprovement
ATH06284,Sandeep Singh #6,3,690.0,396.27,140.0,TotalImprovement
ATH01327,Bhumika Dagar,2,470.0,432.47,140.0,TotalImprovement
ATH00809,Aren Joy Fernandes,4,632.5,459.74,140.0,TotalImprovement
ATH00788,Apoorv Dubey,4,800.0,456.18,140.0,TotalImprovement
ATH03461,Lalit Kumar,2,490.0,345.49,140.0,TotalImprovement
ATH00207,Aditiya Arya,2,600.0,354.14,140.0,TotalImprovement
ATH05343,Rahul Roy,3,610.0,523.57,140.0,TotalImprovement
ATH03161,Kchetrapal Singh,3,810.0,550.01,140.0,TotalImprovement
ATH04389,Naveen Kadam,2,637.5,449.13,140.0,TotalImprovement
ATH06769,Shivam Kumar Prajapathi,3,722.5,490.09,139.5,TotalImprovement
ATH04246,N Sarath,2,643.5,504.2,138.5,TotalImprovement
ATH07056,Sneha Sharma,2,397.5,368.8,137.5,TotalImprovement
ATH02693,Jaswinder Singh,2,737.5,502.71,137.5,TotalImprovement
ATH05736,Rinshad M. R,2,632.5,429.34,137.5,TotalImprovement
ATH00317,Akash Binu,2,797.5,508.6,137.5,TotalImprovement
ATH08039,Vikram Singh Chouhan #1,3,660.0,407.48,137.5,TotalImprovement
ATH00126,Abhirami M. V,8,542.5,502.63,137.5,TotalImprovement
ATH05425,Rajesh E,2,387.5,283.44,137.5,TotalImprovement
ATH06060,Sachin,3,325.0,196.01,137.5,TotalImprovement
ATH01191,Baldev Singh,4,642.5,413.38,137.5,TotalImprovement
ATH00670,Ankit Chouhan,9,830.0,478.55,137.5,TotalImprovement
ATH00896,Arya,3,480.0,347.35,137.5,TotalImprovement
ATH06374,Santosh Kour,3,477.5,469.49,137.5,TotalImprovement
ATH00106,Abhijit Das,2,555.0,440.87,137.5,TotalImprovement
ATH00479,Amit Kishan,3,700.0,400.69,137.5,TotalImprovement
ATH00459,Amandeep Bassan,2,730.0,465.19,137.0,TotalImprovement
ATH01629,D. Muralikrishna,6,652.5,558.93,136.0,TotalImprovement
ATH00101,Abhijeet Chakrawarty,3,610.0,396.44,135.0,TotalImprovement
ATH05441,Rajesh Shirish Shetye,3,585.0,338.76,135.0,TotalImprovement
ATH04927,Pradeep Kumar #3,6,710.0,513.79,135.0,TotalImprovement
ATH03157,Kavyansh Barotra,2,535.0,394.4,135.0,TotalImprovement
ATH05512,Ram Manohar Bhagat,2,535.0,361.17,135.0,TotalImprovement
ATH06579,Shaik Sadiya Almas,21,462.5,531.72,135.0,TotalImprovement
ATH06159,Saksham Chib,2,585.0,364.63,135.0,TotalImprovement
ATH02099,G. Ramesh,8,750.0,511.59,135.0,TotalImprovement
ATH05483,Raju Chakraborty,4,571.0,414.19,-96.5,TotalImprovement
ATH05528,Ramachandran T.K,2,490.0,334.01,-97.5,TotalImprovement
ATH06245,Sana Malgi,2,317.5,317.07,-97.5,TotalImprovement
ATH01266,Bhanumati Mendon,3,322.5,288.8,-97.5,TotalImprovement
ATH01118,B. Naveen Kumar #1,3,600.0,399.75,-97.5,TotalImprovement
ATH04781,Parthiv Banerjee,2,462.5,337.99,-97.5,TotalImprovement
ATH02168,Gaurav Sahu,7,370.0,349.95,-97.5,TotalImprovement
ATH01571,Chhaya Tanwar,4,485.5,400.7,-99.5,TotalImprovement
ATH05044,Pratheeksha G. Naik,6,363.0,334.97,-99.5,TotalImprovement
ATH00152,Abhishek Kumar,2,280.0,304.11,-100.0,TotalImprovement
ATH05042,Prathamesh Sakore,2,487.5,289.83,-100.0,TotalImprovement
ATH04658,P. Karthik,4,552.5,347.16,-100.0,TotalImprovement
ATH04671,P. Raju,4,270.0,190.53,-100.0,TotalImprovement
ATH01376,Birendra Karki,6,555.0,406.18,-100.0,TotalImprovement
ATH05441,Rajesh Shirish Shetye,2,450.0,257.9,-100.0,TotalImprovement
ATH02844,Jyoti,4,320.0,310.22,-100.0,TotalImprovement
ATH05349,Rahul Sharma #6,2,665.0,432.93,-100.0,TotalImprovement
ATH06594,Shailendra Sewathiya,3,622.5,456.16,-100.0,TotalImprovement
ATH06858,Shrutika Raut,6,355.0,362.22,-100.0,TotalImprovement
ATH08133,Vishwanath B,5,730.5,447.15,-101.0,TotalImprovement
ATH07744,Uday Kumaran Ponnu Swami,3,447.5,281.37,-102.5,TotalImprovement
ATH05057,Pratik Namdev,4,372.5,328.55,-102.5,TotalImprovement
ATH04457,Neha Rani,16,395.0,435.14,-102.5,TotalImprovement
ATH04418,Neelam Shreyam,9,350.0,358.3,-105.0,TotalImprovement
ATH04927,Pradeep Kumar #3,5,575.0,416.1,-105.0,TotalImprovement
ATH03900,Mathew T J,8,465.0,274.24,-105.0,TotalImprovement
ATH03827,Manjusha S,9,370.0,377.21,-105.0,TotalImprovement
ATH03967,Megha Nayak,6,397.5,328.17,-105.0,TotalImprovement
ATH06580,Shaik Saquib Basha,12,530.0,290.16,-105.0,TotalImprovement
ATH06679,Shashank Tariyal,4,617.5,420.03,-105.0,TotalImprovement
ATH07338,Sunil Adsul,2,482.5,301.87,-105.0,TotalImprovement
ATH06314,Sanjay Billore,3,355.0,308.69,-105.0,TotalImprovement
ATH06057,Sabir. A,2,362.5,229.82,-105.0,TotalImprovement
ATH05446,Rajesh Toora,2,630.0,387.69,-105.0,TotalImprovement
ATH04927,Pradeep Kumar #3,10,645.0,438.43,-107.5,TotalImprovement
ATH06769,Shivam Kumar Prajapathi,4,615.0,417.75,-107.5,TotalImprovement
ATH05199,Pugazharasan K,6,470.0,340.42,-107.5,TotalImprovement
ATH02099,G. Ramesh,7,615.0,417.46,-107.5,TotalImprovement
ATH05701,Renu,3,327.5,333.88,-107.5,TotalImprovement
ATH03218,Kiran B. Thundil,3,540.5,398.27,-109.5,TotalImprovement
ATH06374,Santosh Kour,2,340.0,331.9,-110.0,TotalImprovement
ATH07721,Tushar Kadam,4,545.0,429.45,-110.0,TotalImprovement
ATH00817,Arji Balakrishna,7,610.0,447.82,-110.0,TotalImprovement
ATH05142,Priya M,10,402.5,420.64,-110.0,TotalImprovement
ATH04335,Nandana R,6,352.5,355.33,-110.0,TotalImprovement
ATH02019,E.C. Rajan,3,400.0,334.89,-110.0,TotalImprovement
ATH00817,Arji Balakrishna,4,595.0,431.71,-112.5,TotalImprovement
ATH07499,Syed Rabban Quadri,6,775.0,433.16,-112.5,TotalImprovement
ATH03585,M Vamsi,13,605.0,475.21,-112.5,TotalImprovement
ATH03951,Md. Shakruddin Shah,3,510.0,403.9,-112.5,TotalImprovement
ATH00696,Annu,4,377.5,387.95,-112.5,TotalImprovement
ATH01193,Balgovind Tiwari,9,535.0,343.47,-115.0,TotalImprovement
ATH02639,Jagwinder Singh Cheema,4,710.0,383.72,-115.0,TotalImprovement
ATH08178,Y. Raghavendra Goud,3,740.0,448.56,-115.0,TotalImprovement
ATH01399,Bogam Harishkumar,6,600.0,374.67,-115.0,TotalImprovement
ATH01972,Divyansh Soni,4,567.5,410.85,-115.0,TotalImprovement
ATH05161,Priyanka,4,185.0,209.57,-115.0,TotalImprovement
ATH05199,Pugazharasan K,4,490.0,419.97,-115.0,TotalImprovement
ATH07553,Tanaji Patil,4,457.5,312.18,-117.5,TotalImprovement
ATH04090,Mohit Chaturvedi,2,515.0,349.82,-117.5,TotalImprovement
ATH00126,Abhirami M. V,3,365.0,339.37,-117.5,TotalImprovement
ATH01938,Dinesh Sharma,2,395.0,313.19,-117.5,TotalImprovement
ATH07602,Tarun,2,330.0,264.95,-117.5,TotalImprovement
ATH02935,K. Singh,3,457.5,386.15,-117.5,TotalImprovement
ATH04509,Nilesh Shinde,2,292.5,260.42,-120.0,TotalImprovement
